Question,Doc_index
전역일이 수업일수 1/4 이후인 경우 복학이 가능한가요?,22.txt
전역 예정자라도 수업일수 2/4 이후면 복학이 불가능한가요?,22.txt
전역 예정일이 수업일수 1/4 이내인 경우 필요한 서류는?,22.txt
전역 예정일이 수업일수 2/4 이후인 경우 필요한 서류는?,22.txt
전역예정증명서를 제출한 후 추가로 제출해야 하는 서류는?,22.txt
전역 후 주민등록 초본은 왜 추가 제출해야 하나요?,22.txt
전역 전 복학 신청이 가능하다고 했는데 조건은 무엇인가요?,22.txt
전역 후 복학 승인까지 걸리는 시간은 얼마나 되나요?,22.txt
입대휴학 만료 제적은 어떤 경우에 발생하나요?,22.txt
입대휴학 후 복학 신청 없이 시간이 지나면 어떻게 되나요?,22.txt
입대휴학 만료 제적 처리 기준은 어떻게 되나요?,22.txt
입대 후 2년 초과 시 무조건 제적되나요?,22.txt
입대휴학 후 제대 후 1년 이내 신청하지 않으면 어떤 조치가 취해지나요?,22.txt
복학 신청 없이 제대 후 방치할 경우 학적 상태는?,22.txt
복학 신청 없이 제적된 경우 다시 복학할 수 있나요?,22.txt
복학 신청 마감 기한은 언제인가요?,22.txt
입대휴학 만료 제적을 피하려면 어떤 시점까지 복학해야 하나요?,22.txt
제대복학 신청 시 등록금 납부는 필수인가요?,22.txt
복무 중 수업일수 3/4 이전에 참여 가능한 경우 복학이 가능한가요?,22.txt
수업일수 기준은 어떻게 산정되나요?,22.txt
복학 신청 시기를 놓쳤을 경우 어떻게 해야 하나요?,22.txt
전역예정증명서와 병적증명서는 모두 제출해야 하나요?,22.txt
전역예정증명서가 없을 경우 대체서류가 있나요?,22.txt
휴가증이 없는 경우 부대장 확인서만으로 충분한가요?,22.txt
복무 중에 신청한 복학이 나중에 취소 가능한가요?,22.txt
복학 신청은 학기 중 언제든 가능한가요?,22.txt
제대복학 후 첫 학기에 수강신청 제한이 있나요?,22.txt
복학 신청 시 기숙사도 함께 신청 가능한가요?,22.txt
복학 신청 후 전역일이 변경되면 어떻게 하나요?,22.txt
제대복학 신청 학생도 수강정정이 가능한가요?,22.txt
제대복학한 학기에 장학금 신청이 가능한가요?,22.txt
전역 후 복학하지 않고 일반휴학으로 전환 가능한가요?,22.txt
복학 신청 후 사유 발생 시 일반휴학으로 변경할 수 있나요?,22.txt
입대휴학 만료제적 학생은 어떻게 복학할 수 있나요?,22.txt
복무 중 대학원 진학을 위한 복학이 가능한가요?,22.txt
전역증이 발급되지 않은 경우 복학 신청은 어떻게 하나요?,22.txt
제대복학 대상자의 학점 이월은 가능한가요?,22.txt
제대복학 학생의 성적 반영 시점은 어떻게 되나요?,22.txt
복학 승인 이후 수강신청이 누락된 경우 어떻게 처리되나요?,22.txt
학사과정의 전공과 교양은 어떤 기준으로 나뉘나요?,23.txt
전공기초 과목은 전공필수와 어떻게 다른가요?,23.txt
교양과목이 전공으로 인정될 수 있나요?,23.txt
일반선택 과목은 졸업요건에 포함되나요?,23.txt
이수구분은 어떤 기준으로 정해지나요?,23.txt
수강한 과목의 이수구분을 변경할 수 있나요?,23.txt
자유학점은 언제 발생하나요?,23.txt
교양과목이 자유학점으로 처리되는 경우는?,23.txt
전공과목이 자유학점으로 처리되는 이유는 무엇인가요?,23.txt
복수전공 시 이수구분은 어떻게 인정되나요?,23.txt
전공으로 수강한 과목이 중복되면 어떻게 처리되나요?,23.txt
교양 재수강 시 이수구분 변경이 가능한가요?,23.txt
타 학과 과목을 전공으로 인정받을 수 있나요?,23.txt
전과 이후 기존 과목의 이수구분은 어떻게 변경되나요?,23.txt
융합전공 수강 시 이수구분 처리는 어떻게 되나요?,23.txt
전공필수 재이수 시 이수구분이 달라질 수 있나요?,23.txt
교과목명이 같은 과목은 중복으로 수강 가능한가요?,23.txt
비전공생이 전공과목을 수강하면 어떤 이수구분이 되나요?,23.txt
전공과목이 전공선택이 아닌 일반선택으로 처리될 수 있나요?,23.txt
과목명은 같지만 코드가 다른 경우 중복 수강 가능한가요?,23.txt
동일과목인정 기준은 무엇인가요?,23.txt
이수구분 변경 신청은 언제까지 가능한가요?,23.txt
전공선택과 일반선택의 차이는 무엇인가요?,23.txt
졸업학점 계산 시 이수구분은 어떤 역할을 하나요?,23.txt
교양필수 과목은 졸업요건에서 어떤 비중을 차지하나요?,23.txt
복수전공자도 교양필수 과목을 들어야 하나요?,23.txt
편입생의 이수구분은 어떻게 판정되나요?,23.txt
교양 재이수 시 학점 제한이 있나요?,23.txt
졸업요건 중 자유학점은 몇 학점까지 허용되나요?,23.txt
전공이 다른 과목을 부전공으로 이수하면 이수구분은?,23.txt
교양과목의 재수강 성적은 평균에 포함되나요?,23.txt
성적 향상을 위해 전공과목을 일반선택으로 재수강할 수 있나요?,23.txt
자유학점은 전체 성적에 어떤 영향을 미치나요?,23.txt
전공필수 과목을 수강하지 않으면 졸업이 가능한가요?,23.txt
수강 편람 상 동일과목은 재이수가 불가한가요?,23.txt
이수구분은 수강 신청 시 자동 지정되나요?,23.txt
이수구분 변경 시 성적은 그대로 유지되나요?,23.txt
이수구분이 바뀌면 평점에도 영향이 있나요?,23.txt
졸업심사 시 이수구분 오류는 어떻게 해결하나요?,23.txt
이수구분 변경 후 자유학점이 감소할 수 있나요?,23.txt
교양영역 중에서도 필수와 선택이 구분되나요?,23.txt
전공 외 교양과목으로 채울 수 있는 학점은 제한이 있나요?,23.txt
재이수 과목이 이수구분 변경 대상인지 어떻게 확인하나요?,23.txt
전공 선택과 전공 기초는 졸업요건상 동일한가요?,23.txt
교양 중복 이수는 허용되나요?,23.txt
편입생도 교양필수 과목을 모두 이수해야 하나요?,23.txt
전과 학생의 기존 전공과목은 어떤 이수구분이 되나요?,23.txt
복수전공을 할 경우 이수구분은 자동 반영되나요?,23.txt
전공 필수와 선택은 재이수 가능 범위가 다른가요?,23.txt
졸업 후 이수구분 변경이 가능한가요?,23.txt
학사과정 졸업을 위해 필요한 총 학점은 얼마인가요?,24.txt
학과별로 졸업소요학점이 다른가요?,24.txt
복수전공을 하는 경우 졸업학점은 더 필요한가요?,24.txt
국제어 수업 이수는 졸업요건인가요?,24.txt
국제어 수업이란 어떤 수업을 의미하나요?,24.txt
국제어 수업은 몇 학점 이상 이수해야 하나요?,24.txt
전공 국제어 수업과 교양 국제어 수업의 차이는?,24.txt
교환학생 프로그램에서 들은 영어수업도 국제어로 인정되나요?,24.txt
편입생도 국제어 수업 요건을 충족해야 하나요?,24.txt
영어 외 제2외국어 수업도 국제어 수업에 포함되나요?,24.txt
국제어 수업은 반드시 전공 수업이어야 하나요?,24.txt
교양으로 수강한 국제어 수업은 인정되나요?,24.txt
국제어 수업 인정 기준은 어디서 확인할 수 있나요?,24.txt
GLS에서 국제어 수업 이수현황은 확인 가능한가요?,24.txt
교환학생 수업의 국제어 인정은 자동으로 되나요?,24.txt
전과한 경우 국제어 요건도 달라지나요?,24.txt
졸업 시 국제어 수업 부족하면 어떻게 되나요?,24.txt
국제어 수업은 영어로만 진행되는 수업인가요?,24.txt
토익 등 공인어학성적으로 대체 가능한가요?,24.txt
일부 과목만 영어로 진행돼도 국제어 수업으로 인정되나요?,24.txt
교양필수 과목 중 국제어 수업이 포함되어 있나요?,24.txt
졸업직전 학기에 국제어 수업을 듣는 건 가능한가요?,24.txt
전공기초 과목도 국제어 수업으로 인정되나요?,24.txt
전공필수 과목이 영어로 진행되면 자동 인정되나요?,24.txt
성적이 낮더라도 국제어 수업 이수로 인정되나요?,24.txt
국제어 수업을 재이수하면 어떻게 반영되나요?,24.txt
국제어 수업의 평가는 영어로만 이루어지나요?,24.txt
팀플 수업에서 영어 발표만 하면 국제어로 인정되나요?,24.txt
국제어 수업은 학과마다 요구 수가 다른가요?,24.txt
졸업 요건 중 국제어 수업은 제외될 수 있나요?,24.txt
교환학생 학점의 국제어 여부는 어디서 확인하나요?,24.txt
전공과 무관한 국제어 수업도 인정 가능한가요?,24.txt
학점 교류로 들은 수업은 국제어로 인정되나요?,24.txt
편입생은 국제어 수업 면제 대상인가요?,24.txt
국제어 수업 기준은 학번에 따라 다른가요?,24.txt
국제어 수업 부족 시 졸업 유예되나요?,24.txt
교과목명이 한글인 경우 영어수업으로 인정되나요?,24.txt
수강신청 시 국제어 수업 여부는 어떻게 알 수 있나요?,24.txt
국제어 수업 중 일부만 영어면 어떻게 되나요?,24.txt
교환학생 영어 수업은 국제어 요건에 자동 포함되나요?,24.txt
국제어 수업 성적은 GPA에 포함되나요?,24.txt
전공필수 국제어 수업이 폐강되면 대체 과목은?,24.txt
졸업 직전 학기 수강한 국제어 수업도 인정되나요?,24.txt
수업계획서에 영어 병기된 수업은 국제어인가요?,24.txt
강의계획서 기준으로 국제어 인정여부가 결정되나요?,24.txt
교양선택 국제어 수업도 요건 충족에 포함되나요?,24.txt
학과 지정 국제어 수업만 인정되나요?,24.txt
수업 언어와 수업명 불일치 시 국제어 판단 기준은?,24.txt
이수 완료 후 국제어 인정 여부를 변경할 수 있나요?,24.txt
졸업예정학기에 국제어 수업이 폐강되면 어떻게 해야 하나요?,24.txt
편입생의 국제어 수업 이수 기준은 일반 재학생과 동일한가요?,25.txt
편입생도 국제어 수업을 반드시 들어야 하나요?,25.txt
편입생의 국제어 수업은 몇 학점 이상 필요한가요?,25.txt
편입생은 기존 학교 수업을 국제어로 인정받을 수 있나요?,25.txt
편입생의 교양 국제어 수업은 졸업요건에 포함되나요?,25.txt
편입생의 이수학점은 어떻게 계산되나요?,25.txt
편입생은 몇 학년으로 편입되나요?,25.txt
편입 후 일반선택으로 인정되는 과목 기준은?,25.txt
편입생도 교양필수 과목을 모두 이수해야 하나요?,25.txt
편입생의 성적은 이전 학교 성적이 포함되나요?,25.txt
편입학 시 국제어 수업 면제 가능한 경우는?,25.txt
편입생도 졸업요건을 동일하게 충족해야 하나요?,25.txt
국제어 수업 인정 기준은 편입생도 동일한가요?,25.txt
편입생이 국제어 수업을 듣지 않으면 졸업 가능한가요?,25.txt
편입생의 학점은 GLS에서 어떻게 확인하나요?,25.txt
편입생이 국제어 수업을 모두 한국어로 수강한 경우는?,25.txt
편입생의 졸업요건 이수 여부는 어디서 확인하나요?,25.txt
편입학 학점인정 결과는 언제 확인 가능한가요?,25.txt
편입학점 인정 기준은 학과마다 다른가요?,25.txt
전적 대학의 국제어 수업은 인정 여부가 어떻게 되나요?,25.txt
편입생의 학점이 자유학점으로 처리되는 기준은?,25.txt
편입생의 수강신청 제한은 있나요?,25.txt
편입생은 수강신청 때 국제어 과목을 어떻게 찾나요?,25.txt
편입학 전공과 후 전공이 다르면 학점 인정은?,25.txt
편입 후 국제어 수업을 재이수해야 하나요?,25.txt
편입생이 전공필수 국제어 수업을 이미 이수한 경우는?,25.txt
편입생도 융합전공 가능하나요?,25.txt
편입생 국제어 수업은 몇 학기에 듣는 것이 유리한가요?,25.txt
편입생의 기초학력평가 기준은 있나요?,25.txt
편입생도 장학금 요건에 국제어 수업이 포함되나요?,25.txt
편입생도 학사경고 기준은 동일한가요?,25.txt
편입생은 교양과목 중복 이수가 허용되나요?,25.txt
편입생의 평균 평점 기준은 어떻게 산정되나요?,25.txt
편입생도 졸업논문 요건이 적용되나요?,25.txt
편입생의 이중전공 조건은 일반학생과 같은가요?,25.txt
편입 후 복수전공 이수 시 주의사항은?,25.txt
편입생 국제어 수업도 학점 이월이 가능한가요?,25.txt
편입생의 학점 이수 우선순위는 어떻게 되나요?,25.txt
편입생이 수강신청 시 주의할 점은 무엇인가요?,25.txt
편입생도 수강꾸러미 이용이 가능한가요?,25.txt
편입생 수강 신청 시 제한 학점은 몇 학점인가요?,25.txt
편입생 성적 장학금 조건은 어떻게 되나요?,25.txt
편입생도 전공심화 이수가 가능한가요?,25.txt
편입생도 졸업학점 조기 이수가 가능한가요?,25.txt
편입생 전공 필수 요건은 어디서 확인하나요?,25.txt
편입생도 전과가 가능한가요?,25.txt
편입생도 학적변동 신청 기간은 동일한가요?,25.txt
편입생의 휴학 가능 시점은 언제부터인가요?,25.txt
편입생도 수료요건을 충족해야 졸업이 가능한가요?,25.txt
편입생도 국제어 수업 대체 신청이 가능한가요?,25.txt
학년 수료 기준은 학과별로 다른가요?,26.txt
수료를 위한 이수 학점 기준은 얼마인가요?,26.txt
학년 수료에 성적 기준이 포함되나요?,26.txt
수료 기준은 총 평점으로 결정되나요?,26.txt
매 학기 수료 판정은 언제 하나요?,26.txt
수료 판정 기준은 어디서 확인하나요?,26.txt
수료 기준을 충족하지 못하면 어떤 조치가 있나요?,26.txt
편입생의 수료 기준은 일반 학생과 동일한가요?,26.txt
복수전공자의 수료 기준은 어떻게 적용되나요?,26.txt
융합전공 수강생의 수료 기준은 무엇인가요?,26.txt
수료 기준을 충족했는데 성적경고가 있으면 수료가 안되나요?,26.txt
학점은 충족했지만 평균평점이 낮으면 수료가 되나요?,26.txt
수료 기준 미충족 시 다음 학기로 이월되나요?,26.txt
학년 수료는 자동으로 판정되나요?,26.txt
학년 수료 기준은 변경될 수 있나요?,26.txt
조기졸업 신청 자격은 무엇인가요?,26.txt
조기졸업은 몇 학기 이수 시점부터 가능한가요?,26.txt
조기졸업을 신청하면 수강신청 제한이 있나요?,26.txt
조기졸업 신청은 언제까지 해야 하나요?,26.txt
조기졸업 신청 후 취소가 가능한가요?,26.txt
조기졸업 시 이수 학점 기준은 얼마인가요?,26.txt
조기졸업 시 평점 기준은 어떻게 되나요?,26.txt
조기졸업 대상자는 장학금 신청이 가능한가요?,26.txt
조기졸업 시 졸업논문은 반드시 제출해야 하나요?,26.txt
조기졸업자는 졸업식에 참여할 수 있나요?,26.txt
조기졸업은 특정 학과에 제한이 있나요?,26.txt
조기졸업 신청 시 수료 판정은 어떻게 되나요?,26.txt
조기졸업 신청 중 군 휴학이 발생하면 어떻게 되나요?,26.txt
조기졸업 학점 기준은 복수전공자에게도 동일한가요?,26.txt
조기졸업 대상자가 성적 경고를 받으면 취소되나요?,26.txt
조기졸업은 단과대별 요건이 다른가요?,26.txt
조기졸업 승인 후 수강 철회가 가능한가요?,26.txt
조기졸업을 위한 조건은 어디에서 확인할 수 있나요?,26.txt
조기졸업 신청은 학과사무실에서 하나요?,26.txt
GLS에서 조기졸업 신청이 가능한가요?,26.txt
조기졸업자는 계절학기 수강이 가능한가요?,26.txt
조기졸업 시 군 복무 계획은 어떻게 반영되나요?,26.txt
수료 기준 미달로 다음 학기 등록이 필요한 경우는?,26.txt
조기졸업 대상자도 일반휴학이 가능한가요?,26.txt
수료 상태로 졸업 유예는 가능한가요?,26.txt
조기졸업 승인 이후 휴학이 가능한가요?,26.txt
졸업 유예자와 조기졸업자의 차이는 무엇인가요?,26.txt
수료 기준은 전공과 교양을 구분하나요?,26.txt
조기졸업 신청은 재학생만 가능한가요?,26.txt
수료 기준은 평점 제외 과목도 포함하나요?,26.txt
수료 판정 후 수강 철회 시 기준에 영향이 있나요?,26.txt
조기졸업자는 학위수여식 시점이 앞당겨지나요?,26.txt
조기졸업 조건은 학번별로 다를 수 있나요?,26.txt
이수학점 기준은 계절학기 포함인가요?,26.txt
졸업 유예 신청과 조기졸업 신청을 병행할 수 있나요?,26.txt
2025학년도 성균교양의 총 이수 학점은 몇 학점인가요?,27.txt
기초 영역과 핵심 영역은 어떤 차이가 있나요?,27.txt
AI역량과 SW역량은 각각 몇 학점 이수해야 하나요?,27.txt
자기설계 영역은 필수인가요?,27.txt
2025학번부터 적용되는 교양 체계는 기존과 무엇이 다른가요?,27.txt
글쓰기 과목은 어디에 포함되나요?,27.txt
공학계열은 어떤 교양영역을 중점적으로 이수해야 하나요?,27.txt
경상계열과 인문계열은 교양 이수 기준이 다른가요?,27.txt
핵심교양은 어떤 세부 영역으로 나뉘나요?,27.txt
융복합 영역은 필수인가요?,27.txt
2025학년도 교양 졸업요건은 어디서 확인하나요?,27.txt
성균핵심 교양 중 택일 가능한 영역은 무엇인가요?,27.txt
의사소통 역량은 어떤 과목을 통해 이수하나요?,27.txt
공학계열 필수 교양은 몇 학점인가요?,27.txt
자기설계 교양은 어떤 활동으로 대체할 수 있나요?,27.txt
SW/AI 영역은 비전공자도 들어야 하나요?,27.txt
AI역량은 어떤 과목들로 구성되어 있나요?,27.txt
핵심교양에서 세 영역을 선택 이수해야 하나요?,27.txt
성균핵심의 ‘세 영역’ 이수 요건은 어떻게 되나요?,27.txt
융복합 교양은 선택 이수인가요?,27.txt
졸업에 필요한 성균교양 총 학점은?,27.txt
교양 수업 중 영역 중복 인정은 가능한가요?,27.txt
각 영역별 대표 과목은 어디서 확인하나요?,27.txt
성균교양은 학과별 기준이 다른가요?,27.txt
핵심 교양은 자유선택 과목으로 인정되나요?,27.txt
기초교양은 어떤 과목이 포함되나요?,27.txt
자기설계 교양은 일반 과목과 어떤 차이가 있나요?,27.txt
SW역량 과목은 자유학점으로 이수 가능한가요?,27.txt
SW역량은 어느 학기에 수강하는 것이 좋나요?,27.txt
AI역량 과목은 특정 계열에만 필수인가요?,27.txt
성균핵심 교양은 영역별 몇 과목을 들어야 하나요?,27.txt
융복합영역 과목은 어디에서 개설되나요?,27.txt
성균교양 과목은 계절학기에도 개설되나요?,27.txt
교양 필수 과목을 재수강하면 이수로 인정되나요?,27.txt
기초교양 과목을 일반선택으로 바꿀 수 있나요?,27.txt
핵심교양 이수 실패 시 대체 과목은?,27.txt
영역별 최소 이수학점 기준은 무엇인가요?,27.txt
융복합 과목은 어떤 전공과 연계되나요?,27.txt
교양 이수구조는 수강편람에서 어떻게 표시되나요?,27.txt
SW/AI역량 수업은 온라인으로도 수강 가능한가요?,27.txt
자기설계 교양 활동 예시는 어떤 것이 있나요?,27.txt
교양 졸업요건은 평점과도 연관되나요?,27.txt
자기설계 교양은 팀 프로젝트로도 이수되나요?,27.txt
핵심교양 내 복수 이수 영역은 선택 가능한가요?,27.txt
성균교양 교과목은 중복 수강이 가능한가요?,27.txt
핵심교양은 졸업 논문과 연계되나요?,27.txt
AI역량 교과목 목록은 어디서 확인하나요?,27.txt
성균교양 영역별 전공제한이 있는 과목도 있나요?,27.txt
자기설계 교양은 성적 평가 기준이 다른가요?,27.txt
핵심교양 이수 영역은 선택이 가능한가요?,27.txt
2024학년도 성균교양 이수 기준은 어떻게 되나요?,28.txt
2024년 기준 교양필수 과목은 어떤 것이 있나요?,28.txt
2024 성균교양에서 기초과목은 무엇을 포함하나요?,28.txt
영역별 교양 이수학점은 몇 학점인가요?,28.txt
성균핵심 교양 영역은 무엇으로 구성되나요?,28.txt
자기설계 교양은 2024학년도에도 존재하나요?,28.txt
SW역량과 AI역량 이수 기준은 어떻게 다른가요?,28.txt
의사소통 역량은 어떤 과목으로 이수할 수 있나요?,28.txt
2024학년도 성균교양 총 이수학점은 몇 학점인가요?,28.txt
핵심교양 세 영역은 어떻게 선택해야 하나요?,28.txt
기초 교양에서 영어 과목도 필수인가요?,28.txt
영어강의 과목은 교양 필수로 인정되나요?,28.txt
융복합영역 이수는 선택인가요 필수인가요?,28.txt
융복합 교양은 어떤 과목들이 있나요?,28.txt
SW역량은 어떤 과목을 통해 이수할 수 있나요?,28.txt
AI역량 과목은 어느 전공 학생도 필수인가요?,28.txt
2024학년도부터 교양 필수 요건이 바뀐 부분은?,28.txt
기초과목과 핵심과목의 구분은 어디서 보나요?,28.txt
성균핵심 영역 중 2개만 이수해도 졸업 가능한가요?,28.txt
성균교양 과목 중 중복이 인정되는 경우는?,28.txt
자기설계 영역은 어떤 형태로 이수할 수 있나요?,28.txt
성균교양 중 복수전공자에게 유리한 과목은?,28.txt
교양필수 과목은 학년별로 차이가 있나요?,28.txt
성균교양 교과목은 여름학기에도 수강 가능한가요?,28.txt
자기설계 교양으로 인정되는 활동 예시는?,28.txt
교양 수업 성적은 평점에 반영되나요?,28.txt
핵심교양 수업이 폐강되면 대체는 어떻게 하나요?,28.txt
자기설계 교양은 온라인으로 이수 가능한가요?,28.txt
2024년 이전 학번과의 교양 이수 차이는?,28.txt
핵심교양 이수 기준은 단과대학마다 다른가요?,28.txt
성균핵심 교양은 졸업요건과 직접 관련되나요?,28.txt
성균교양 필수 요건을 만족하지 못하면 졸업 유예되나요?,28.txt
핵심교양과 자기설계 영역은 중복 이수 가능한가요?,28.txt
2024년 교양 영역 변경사항은 어디서 확인하나요?,28.txt
SW역량 수업은 어느 학년 때 수강하는 게 좋나요?,28.txt
AI역량 과목은 실습 포함인가요?,28.txt
성균교양 필수과목의 평가는 상대평가인가요?,28.txt
교양 수업도 재이수 제한이 있나요?,28.txt
핵심교양 과목은 영역 변경 신청이 가능한가요?,28.txt
교양 필수 과목을 자율학점으로 전환 가능한가요?,28.txt
성균교양 과목별 학점 수는 몇 학점인가요?,28.txt
자기설계 교양은 비학점 활동도 인정되나요?,28.txt
교양 필수 과목은 성적경고 기준에 포함되나요?,28.txt
2024학년도 성균교양 요건은 졸업사정서에 반영되나요?,28.txt
교양 과목 성적 향상을 위한 재수강은 유리한가요?,28.txt
교양과목도 복수 수강이 가능한가요?,28.txt
핵심교양 세 영역은 어떻게 선택해야 효율적인가요?,28.txt
성균교양은 이수구분 변경이 자유로운가요?,28.txt
SW/AI역량은 이수과목이 고정되어 있나요?,28.txt
융복합 과목도 교양 필수로 인정받을 수 있나요?,28.txt
2021~2023학번의 성균교양 이수 기준은 어떤가요?,29.txt
기초교양 필수 과목은 어떤 것이 있나요?,29.txt
성균핵심 교양 영역은 몇 개 선택해야 하나요?,29.txt
핵심교양 이수 영역 중복은 가능한가요?,29.txt
의사소통 과목은 기초교양으로 분류되나요?,29.txt
SW/AI 역량은 필수인가요 선택인가요?,29.txt
융복합 영역은 2023년에도 필수인가요?,29.txt
AI역량 과목은 어떤 과목들이 해당되나요?,29.txt
핵심교양은 영역별로 학점 제한이 있나요?,29.txt
2021학번과 2023학번 간 교양요건 차이는 무엇인가요?,29.txt
핵심교양 세 영역은 학과 제한이 있나요?,29.txt
자기설계 교양은 어떻게 이수하나요?,29.txt
핵심교양 과목을 재수강하면 인정되나요?,29.txt
성균핵심 교양은 일반선택으로 전환 가능한가요?,29.txt
기초교양 과목 목록은 어디서 확인하나요?,29.txt
AI역량 과목은 어떤 방식으로 진행되나요?,29.txt
교양과목도 평점 평균에 반영되나요?,29.txt
자기설계는 교과목이 아닌 활동도 가능한가요?,29.txt
성균핵심 교양은 단과대마다 다르게 적용되나요?,29.txt
성균교양 중복 이수는 허용되나요?,29.txt
핵심교양 이수 실패 시 대체 과목은 있나요?,29.txt
SW역량은 몇 학점 이수해야 하나요?,29.txt
자기설계 교양의 성적 평가 기준은 무엇인가요?,29.txt
핵심교양은 반드시 전공 이외 영역에서 선택해야 하나요?,29.txt
성균핵심은 계절학기 수강도 가능한가요?,29.txt
핵심교양 세 영역 중 2개만 들으면 졸업 가능한가요?,29.txt
교양과목 이수는 GLS에서 어떻게 확인하나요?,29.txt
2022학번은 AI역량이 필수인가요?,29.txt
핵심교양 이수 시 주의할 점은 무엇인가요?,29.txt
기초교양 과목은 학과에서 지정해주나요?,29.txt
자기설계 교양은 재이수 가능한가요?,29.txt
성균교양 필수 요건은 어디에서 확인하나요?,29.txt
AI역량 과목은 실습이 포함되어 있나요?,29.txt
핵심교양 수업의 수강학년 제한이 있나요?,29.txt
기초과목과 핵심과목의 학점 비중은 어떻게 되나요?,29.txt
복수전공자에게 성균교양은 중복 인정되나요?,29.txt
융복합영역 과목은 특정 전공 제한이 있나요?,29.txt
핵심교양 과목은 교양외 선택으로 바꿀 수 있나요?,29.txt
2023학번 교양요건은 이전 학번과 무엇이 다른가요?,29.txt
AI역량 과목을 교양으로 들으면 졸업요건 충족되나요?,29.txt
핵심교양에서 특정 영역을 두 번 들을 수 있나요?,29.txt
자기설계 교양은 개인 프로젝트도 포함되나요?,29.txt
성균핵심 이수 실패 시 졸업에 영향이 있나요?,29.txt
교양필수 과목 재이수는 학점제한이 있나요?,29.txt
핵심교양 수강신청 시 인기과목은 조기 마감되나요?,29.txt
교양과목으로 졸업요건 다 채울 수 있나요?,29.txt
자기설계 교양은 성적이 Pass/Fail인가요?,29.txt
핵심교양 필수 과목 수는 몇 개인가요?,29.txt
GLS에서 핵심교양 영역별 이수여부 확인 가능한가요?,29.txt
교양 수업도 영역 중복 이수 제한이 있나요?,29.txt
2020학번의 성균교양 이수 구조는 어떻게 되나요?,30.txt
2020학번의 교양필수 과목은 어떤 것이 있나요?,30.txt
"기초, 핵심, 선택 교양의 구분 기준은 무엇인가요?",30.txt
핵심교양 영역별 최소 이수 기준은 어떻게 되나요?,30.txt
교양 이수 총학점은 몇 학점인가요?,30.txt
핵심교양 세 영역 중 선택 기준은 무엇인가요?,30.txt
기초교양은 전 학과 공통인가요?,30.txt
AI역량 교과목은 필수인가요?,30.txt
성균핵심 교과목은 어디에서 찾을 수 있나요?,30.txt
핵심교양을 다른 영역으로 대체 가능한가요?,30.txt
기초교양 영어 과목은 졸업 필수인가요?,30.txt
성균핵심 교양 중복 수강 시 어떻게 처리되나요?,30.txt
성균핵심 교과목은 이수구분 변경이 되나요?,30.txt
핵심교양의 학점 비중은 얼마인가요?,30.txt
자기설계 교양은 2020학번에 적용되나요?,30.txt
성균핵심 교양 수강학년 제한이 있나요?,30.txt
기초교양과목 성적은 평점에 반영되나요?,30.txt
교양 이수 구조가 바뀐 경우 예외처리는 어떻게 되나요?,30.txt
교양과목 재이수 시 이수구분은 변경되나요?,30.txt
성균핵심 교과목 이수 확인은 어디서 하나요?,30.txt
졸업 시 교양 요건 미이수면 어떻게 되나요?,30.txt
핵심교양 수업이 폐강되면 대체는 가능한가요?,30.txt
자기설계 교양으로 인정되는 활동은 무엇인가요?,30.txt
AI역량 과목은 어떤 교과목이 포함되나요?,30.txt
교양이수 구조는 학과 변경 시 동일한가요?,30.txt
핵심교양 학점은 전공으로 전환 가능한가요?,30.txt
성균교양 수강현황은 GLS에서 확인되나요?,30.txt
기초교양 수업도 교양선택으로 바뀔 수 있나요?,30.txt
교양 과목은 학점제한이 있나요?,30.txt
성균핵심과 자유학점의 차이는 무엇인가요?,30.txt
핵심교양 영역별 대표 과목은 어디서 알 수 있나요?,30.txt
자기설계 과목은 몇 학점인가요?,30.txt
핵심교양 재수강은 성적향상에 도움이 되나요?,30.txt
자기설계 교양 성적 기준은 P/F인가요?,30.txt
성균핵심 이수 기준은 학과에 따라 달라지나요?,30.txt
2020학번 교양 구조 변경 시 혼합 적용되나요?,30.txt
핵심교양 영역별 이수 확인은 어떻게 하나요?,30.txt
융복합 교양은 2020학번에도 적용되나요?,30.txt
핵심교양 선택 시 유의할 점은 무엇인가요?,30.txt
성균핵심과목 이수 순서는 정해져 있나요?,30.txt
교양과목 성적도 졸업평균에 포함되나요?,30.txt
핵심교양은 전공필수로 대체 가능한가요?,30.txt
자기설계 교양 이수는 팀 단위로 가능한가요?,30.txt
교양 재수강은 졸업요건 충족에 영향이 있나요?,30.txt
성균핵심 교양 수업은 교양선택으로 바꿀 수 있나요?,30.txt
핵심교양을 초과 이수하면 어떻게 처리되나요?,30.txt
AI역량 교과목은 이수구분 변경 가능한가요?,30.txt
졸업요건 교양 미이수 시 대체 가능한 과목은?,30.txt
교양과목을 초과 이수하면 자유학점으로 자동 전환되나요?,30.txt
졸업 직전에 성균핵심 요건 미달이면 유예 신청이 가능한가요?,30.txt
2016~2019학번 성공인성·교양·기초 학점 이수표에 따른 졸업학점은 어떻게 계산되나요?,31.txt
2016~2019학번 성공인성·교양·기초 학점 이수표에서 교양과 기초 학점의 차이는 무엇인가요?,31.txt
2016~2019학번 성공인성·교양·기초 학점 이수표에서 '성공인성' 항목은 어떤 과목으로 구성되나요?,31.txt
2016~2019학번 성공인성·교양·기초 학점 이수표 기준에서 글로벌 시민 역량은 어떤 과목으로 충족되나요?,31.txt
